日期,股票代码,名称,涨跌幅
2020/11/10,'000001,上证指数,-0.4027
2020/11/9,'000001,上证指数,1.8591
2020/11/6,'000001,上证指数,-0.2402
2020/11/5,'000001,上证指数,1.3026
2020/11/4,'000001,上证指数,0.1946
2020/11/3,'000001,上证指数,1.4249
2020/11/2,'000001,上证指数,0.0182
2020/10/30,'000001,上证指数,-1.4726
2020/10/29,'000001,上证指数,0.1067
2020/10/28,'000001,上证指数,0.4585
2020/10/27,'000001,上证指数,0.0983
2020/10/26,'000001,上证指数,-0.82
2020/10/23,'000001,上证指数,-1.0416
2020/10/22,'000001,上证指数,-0.3767
2020/10/21,'000001,上证指数,-0.0925
2020/10/20,'000001,上证指数,0.466
2020/10/19,'000001,上证指数,-0.7101
2020/10/16,'000001,上证指数,0.1253
2020/10/15,'000001,上证指数,-0.2573
2020/10/14,'000001,上证指数,-0.5647
2020/10/13,'000001,上证指数,0.0383
2020/10/12,'000001,上证指数,2.6402
2020/10/9,'000001,上证指数,1.6788
2020/9/30,'000001,上证指数,-0.1956
2020/9/29,'000001,上证指数,0.2121
2020/9/28,'000001,上证指数,-0.0585
2020/9/25,'000001,上证指数,-0.1166
2020/9/24,'000001,上证指数,-1.7238
2020/9/23,'000001,上证指数,0.1652
2020/9/22,'000001,上证指数,-1.2853
2020/9/21,'000001,上证指数,-0.6337
2020/9/18,'000001,上证指数,2.0687
2020/9/17,'000001,上证指数,-0.4108
2020/9/16,'000001,上证指数,-0.3567
2020/9/15,'000001,上证指数,0.5144
2020/9/14,'000001,上证指数,0.5664
2020/9/11,'000001,上证指数,0.789
2020/9/10,'000001,上证指数,-0.6085
2020/9/9,'000001,上证指数,-1.8631
2020/9/8,'000001,上证指数,0.7236
2020/9/7,'000001,上证指数,-1.8709
2020/9/4,'000001,上证指数,-0.8749
2020/9/3,'000001,上证指数,-0.5822
2020/9/2,'000001,上证指数,-0.1702
2020/9/1,'000001,上证指数,0.4397
2020/8/31,'000001,上证指数,-0.2388
2020/8/28,'000001,上证指数,1.6027
2020/8/27,'000001,上证指数,0.6119
2020/8/26,'000001,上证指数,-1.2995
2020/8/25,'000001,上证指数,-0.3562
2020/8/24,'000001,上证指数,0.1466
2020/8/21,'000001,上证指数,0.4989
2020/8/20,'000001,上证指数,-1.2978
2020/8/19,'000001,上证指数,-1.2448
2020/8/18,'000001,上证指数,0.3573
2020/8/17,'000001,上证指数,2.3423
2020/8/14,'000001,上证指数,1.1857
2020/8/13,'000001,上证指数,0.044
2020/8/12,'000001,上证指数,-0.6294
2020/8/11,'000001,上证指数,-1.153
2020/8/10,'000001,上证指数,0.7518
2020/8/7,'000001,上证指数,-0.9576
2020/8/6,'000001,上证指数,0.2635
2020/8/5,'000001,上证指数,0.1743
2020/8/4,'000001,上证指数,0.1105
2020/8/3,'000001,上证指数,1.751
2020/7/31,'000001,上证指数,0.7054
2020/7/30,'000001,上证指数,-0.2346
2020/7/29,'000001,上证指数,2.063
2020/7/28,'000001,上证指数,0.7093
2020/7/27,'000001,上证指数,0.2646
2020/7/24,'000001,上证指数,-3.8598
2020/7/23,'000001,上证指数,-0.2416
2020/7/22,'000001,上证指数,0.3694
2020/7/21,'000001,上证指数,0.2035
2020/7/20,'000001,上证指数,3.1119
2020/7/17,'000001,上证指数,0.1255
2020/7/16,'000001,上证指数,-4.4984
2020/7/15,'000001,上证指数,-1.5614
2020/7/14,'000001,上证指数,-0.8326
2020/7/13,'000001,上证指数,1.7723
2020/7/10,'000001,上证指数,-1.9496
2020/7/9,'000001,上证指数,1.3855
2020/7/8,'000001,上证指数,1.7368
2020/7/7,'000001,上证指数,0.3737
2020/7/6,'000001,上证指数,5.7113
2020/7/3,'000001,上证指数,2.014
2020/7/2,'000001,上证指数,2.1345
2020/7/1,'000001,上证指数,1.384
2020/6/30,'000001,上证指数,0.782
2020/6/29,'000001,上证指数,-0.6053
2020/6/24,'000001,上证指数,0.3006
2020/6/23,'000001,上证指数,0.1804
2020/6/22,'000001,上证指数,-0.0796
2020/6/19,'000001,上证指数,0.9635
2020/6/18,'000001,上证指数,0.1172
2020/6/17,'000001,上证指数,0.1407
2020/6/16,'000001,上证指数,1.4435
2020/6/15,'000001,上证指数,-1.0176
2020/6/12,'000001,上证指数,-0.0396
2020/6/11,'000001,上证指数,-0.7764
2020/6/10,'000001,上证指数,-0.4181
2020/6/9,'000001,上证指数,0.6243
2020/6/8,'000001,上证指数,0.2379
2020/6/5,'000001,上证指数,0.3956
2020/6/4,'000001,上证指数,-0.141
2020/6/3,'000001,上证指数,0.0675
2020/6/2,'000001,上证指数,0.2047
2020/6/1,'000001,上证指数,2.2115
2020/5/29,'000001,上证指数,0.2154
2020/5/28,'000001,上证指数,0.332
